encoder,encoder_family,dataset,query_id,query_text,query_length_tokens,nDCG@10,primary_label,labels
lstm-retriever,recurrent,scifact,1280,"The ureABIEFGH gene cluster encodes urease maturation proteins : UreD/UreH, UreE, UreF, and UreG.",32.0,0.0,LEN-LONG,LEN-LONG|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,scifact,1281,The ureABIEFGH gene cluster is induced by nickel (II) ion.,17.0,0.0,DOMAIN-TERM,DOMAIN-TERM
lstm-retriever,recurrent,scifact,1290,There is an inverse relationship between hip fractures and statin use.,13.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,scifact,13,5% of perinatal mortality is due to low birth weight.,14.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,1337,Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,30.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|DOMAIN-TERM
lstm-retriever,recurrent,scifact,1339,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,14.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,1362,Venules have a larger lumen diameter than arterioles.,14.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,137,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,18.0,0.0,NEGATION,NEGATION
lstm-retriever,recurrent,scifact,1370,Vitamin D deficiency is unrelated to birth weight.,9.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,1385,cSMAC formation enhances weak ligand signalling.,9.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,198,CCL19 is absent within dLNs.,9.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,237,Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,20.0,0.0,NEGATION,NEGATION
lstm-retriever,recurrent,scifact,238,Cells undergoing methionine restriction may activate miRNAs.,12.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,269,Cold exposure reduces BAT recruitment.,6.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,34.0,0.0,LEN-LONG,LEN-LONG|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",26.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,303,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,23.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|DOMAIN-TERM
lstm-retriever,recurrent,scifact,312,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,19.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,314,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,32.0,0.0,LEN-LONG,LEN-LONG|DOMAIN-TERM
lstm-retriever,recurrent,scifact,324,Deleting Raptor reduces G-CSF levels.,12.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,36,A deficiency of vitamin B12 increases blood levels of homocysteine.,15.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,384,Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,21.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,386,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,20.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,scifact,439,Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,27.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,440,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,26.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,452,Gene expression does not vary appreciably across genetically identical cells.,14.0,0.0,NEGATION,NEGATION|DOMAIN-TERM
lstm-retriever,recurrent,scifact,478,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,39.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",23.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,5,1/2000 in UK have abnormal PrP positivity.,13.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,501,Headaches are not correlated with cognitive impairment.,9.0,0.0,NEGATION,NEGATION
lstm-retriever,recurrent,scifact,507,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,26.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|DOMAIN-TERM
lstm-retriever,recurrent,scifact,513,High cardiopulmonary fitness causes increased mortality rate.,13.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,517,High levels of copeptin decrease risk of diabetes.,11.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,521,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,41.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|NEGATION
lstm-retriever,recurrent,scifact,528,Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.,62.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,536,Hypocretin neurones induce panicprone state in rats.,16.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,549,IRG1 has antiviral effects against neurotropic viruses.,15.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,551,ITAM phosphorylation prevents the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,42.0,0.0,LEN-LONG,LEN-LONG|DOMAIN-TERM
lstm-retriever,recurrent,scifact,560,Immune responses result in the development of inflammatory Th17 cells and anti-inflammatory iTregs.,19.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,569,"In adult tissue, most T cells are memory T cells.",12.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,scifact,577,"In mice, P. chabaudi parasites are able to proliferate faster early in infection when inoculated at lower numbers than when inoculated at high numbers.",35.0,0.0,LEN-LONG,LEN-LONG|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,587,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",39.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,scifact,619,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,18.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,623,Individuals with low serum vitamin D concentrations have increased risk of multiple sclerosis.,16.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,628,Infection of human T-cell lymphotropic virus type 1 is most frequent in individuals of African origin.,24.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,636,"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",38.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,637,Input from  mental and physical health care professionals is effective at decreasing homelessness.,15.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,scifact,649,Integrating classroom-based collaborative learning with Web-based collaborative learning leads to subpar class performance,18.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,659,Ivermectin is used to treat lymphatic filariasis.,18.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,684,Lack of clpC does not affect sporulation efficiency in Bacillus subtilis cells.,20.0,0.0,NEGATION,NEGATION
lstm-retriever,recurrent,scifact,702,Localization of PIN1 in the roots of Arabidopsis does not require VPS9a,19.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY|NEGATION
lstm-retriever,recurrent,scifact,715,Low expression of miR7a does represses target genes and exerts a biological function in ovaries.,23.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,716,Low expression of miR7a exerts a biological function in testis.,16.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,718,Low nucleosome occupancy correlates with low methylation levels across species.,20.0,0.0,DOMAIN-TERM,DOMAIN-TERM
lstm-retriever,recurrent,scifact,72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,17.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,721,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,26.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,727,Ly6C hi monocytes have a lower inflammatory capacity compared to their Ly6C lo counterparts.,22.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,768,Mercaptopurine is anabolized into the inactive methylmercaptopurine by thiopurine methyltrasnferase (TPMT).,35.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,783,Mice without IFN-γ or its receptor are resistant to EAM induced with α-MyHC/CFA.,23.0,0.0,LEN-LONG,LEN-LONG|NEGATION
lstm-retriever,recurrent,scifact,785,Microarray results from culture-amplified mixtures of serotypes correlate poorly with microarray results from uncultured mixtures.,30.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,808,Most termination events in Okazaki fragments are sequence specific.,12.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,820,N-terminal cleavage increases success identifying transcription start sites.,11.0,0.0,DOMAIN-TERM,DOMAIN-TERM
lstm-retriever,recurrent,scifact,821,N-terminal cleavage reduces success identifying transcription start sites.,11.0,0.0,DOMAIN-TERM,DOMAIN-TERM
lstm-retriever,recurrent,scifact,830,NF2 (Merlin) causes phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila by activating LATS1/2 kinases.,39.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,scifact,831,NF2 (Merlin) prevents phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila.,29.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,scifact,834,NOX2-independent pathways can generate peroxynitrite by reacting with nitrogen intermediates.,20.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,837,NR5A2 is important in development of endometrial tissues.,15.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,847,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,22.0,0.0,LEN-LONG,LEN-LONG|NEGATION|DOMAIN-TERM
lstm-retriever,recurrent,scifact,852,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,17.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,859,Normal expression of RUNX1 has tumor-promoting effects.,12.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,873,Obesity is determined solely by environmental factors.,8.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,911,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,25.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,914,PPAR-RXRs can be activated by PPAR ligands.,15.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,957,Podocytes are motile and migrate in the presence of injury.,13.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,scifact,985,Pseudogene PTENP1 regulates the expression of PTEN by functioning as an miRNA decoy.,22.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|DOMAIN-TERM
lstm-retriever,recurrent,scifact,99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,16.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,fiqa,10039,Do individual investors use Google to obtain stock quotes?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,10601,Bitcoin Cost Basis Purchases,6.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,fiqa,10710,Probablity of touching In the money vs expiring in the money for an american option,20.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,10975,How to contribute to Roth IRA when income is at the maximum limit & you have employer-sponsored 401k plans?,23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NUMERIC-ENTITY|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,10994,Net loss not distributed by mutual funds to their shareholders?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NEGATION
lstm-retriever,recurrent,fiqa,1159,what is the best way to do a freelancing job over the summer for a student,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,1284,Tax consequences when foreign currency changes in value,8.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,fiqa,1306,"I made an investment with a company that contacted me, was it safe?",15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,1391,How is taxation for youtube/twitch etc monetization handled in the UK?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,1451,"How do you find an ethical, honest independent insurance broker in Canada?",14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,1783,Freelancing Tax implication,5.0,0.0,LEN-SHORT,LEN-SHORT
lstm-retriever,recurrent,fiqa,1824,Is there a way to open a U.S. bank account for my LLC remotely?,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,2010,Paypal website donations without being a charity,8.0,0.0,NEGATION,NEGATION
lstm-retriever,recurrent,fiqa,2108,Can I pay taxes using bill pay from my on-line checking account?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,2181,What are the risks & rewards of being a self-employed independent contractor / consultant vs. being a permanent employee?,23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,2296,How does a bank make money on an interest free secured loan?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,2388,Do financial advisors get better deals on mortgages?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,2513,How does revenue shared with someone else go into my tax return in Canada?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,2579,What to do when a job offer is made but with a salary less than what was asked for?,20.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,2590,Are non-residents or foreigners permitted to buy or own shares of UK companies?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,2593,Am I “cheating the system” by opening up a tiny account with a credit union and then immediately applying for a huge loan?,26.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,2885,Merits of buying apartment houses and renting them,9.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,3115,How can I live outside of the rat race of American life with 300k?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY
lstm-retriever,recurrent,fiqa,3148,Can a car company refuse to give me a copy of my contract or balance details?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,3189,Diversify my retirement investments with a Roth IRA,9.0,0.0,DOMAIN-TERM,DOMAIN-TERM
lstm-retriever,recurrent,fiqa,3404,"In US, is it a good idea to hire a tax consultant for doing taxes?",17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,3569,Funds in closed bank account have gone to the government,10.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,fiqa,3694,Has anyone created a documentary about folks who fail to save enough for retirement?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NEGATION
lstm-retriever,recurrent,fiqa,3767,What should I be doing to protect myself from identity theft?,12.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,3771,Best way to buy Japanese yen for travel?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,3822,How to change a large quantity of U.S. dollars into Euros?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,3888,Why I can't view my debit card pre-authorized amounts?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NEGATION
lstm-retriever,recurrent,fiqa,3909,How to rescue my money from negative interest?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,4007,What is a reasonable salary for the owner and sole member of a small S-Corp?,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,4084,What industries soar when oil prices go up?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,4415,How much is inflation?,5.0,0.0,LEN-SHORT,LEN-SHORT|NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,4484,Has the likelihood of getting a lower interest rate by calling & asking been reduced by recent credit card regulations?,21.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,4539,How should I save money if the real interest rate (after inflation) is negative?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,4571,"HSBC Hong Kong's “Deposit Plus” Product: What is it, and what strategies to employ?",22.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,4640,What can my relatives do to minimize their out of pocket expenses on their fathers estate,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,475,Do I need a new EIN since I am hiring employees for my LLC?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,4756,What is the formula for the Tesla Finance calculation?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,4775,Should I finance a car to build credit for a mortgage next year?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,4777,How to finance necessary repairs to our home in order to sell it?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,4813,Dealer Financing Fell Through on vehicle purchase: Scam?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,4962,Net Cash Flows from Selling the Bond and Investing,9.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,4981,Where can I find open source portfolio management software?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,504,Have plenty of cash flow but bad credit,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,5064,How much should a graduate student attempt to save?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,5067,LLC: Where should the funds for initial startup costs come from?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,5085,What is vested stock and yearly dividends?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,5134,Why does Yahoo Finance's data for a Vanguard fund's dividend per share not match the info from Vanguard?,24.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NEGATION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,5185,Invest in low cost small cap index funds when saving towards retirement?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,5228,How does the bank/IRS know whether a bank transfer over $14k is a gift or loan repayment?,23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NUMERIC-ENTITY
lstm-retriever,recurrent,fiqa,529,Sole proprietorship or LLC?,6.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,5343,“International credit report” for French nationals?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,5356,Historical stock prices: Where to find free / low cost data for offline analysis?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,5380,"Can somebody explain “leveraged debt investment positions” and “exposures” in this context for me, please?",23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,5460,Paying off a loan with a loan to get a better interest rate,13.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,fiqa,5511,Pay off car loan entirely or leave $1 until the end of the loan period?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY
lstm-retriever,recurrent,fiqa,585,Following an investment guru a good idea?,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,5940,How does investment into a private company work?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,6009,Why can low volume move a stock price drastically?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,6142,How does stabilization work during an IPO?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,6146,Lost credit card replaced with new card and new numbers. Credit score affected?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,6252,"Is this mortgage advice good, or is it hooey?",13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,6467,Advice on strategy for when to sell,7.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,fiqa,6625,What does a high theta mean for an option position?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,6629,Tax treatment of a boxed trade?,7.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,6635,Why don't share prices of a company rise every other Friday when the company buys shares for its own employees?,23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NEGATION
lstm-retriever,recurrent,fiqa,6644,How to know precisely when a SWIFT is issued by a bank?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,6647,What is meant by “priced in”?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,6715,What does it mean if “IPOs - normally are sold with an `underwriting discount` (a built in commission)”,26.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,6862,Canada discount stock brokers: Interactive Brokers vs. Questrade?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,6891,What is the theory behind Rick Van Ness's risk calculation in the video about diversification?,19.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,6959,What is the term for the quantity (high price minus low price) for a stock?,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,7080,Wash sale rule with dividend reinvestment,9.0,0.0,DOMAIN-TERM,DOMAIN-TERM
lstm-retriever,recurrent,fiqa,7096,What's the formula for profits and losses when I delta hedge?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,7105,What is the difference between fixed-income duration and equity duration?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,7279,"If I invest in securities denominated in a foreign currency, should I hedge my currency risk?",20.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,7311,"Finance, Social Capital IPOA.U",8.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,fiqa,7377,What type of returns Vanguard is quoting?,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,7445,IS it the wrong time to get into the equity market immediately after large gains?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,7512,understanding the process/payment of short sale dividends,10.0,0.0,DOMAIN-TERM,DOMAIN-TERM
lstm-retriever,recurrent,fiqa,7758,Bid/ask spreads for index funds,7.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,fiqa,7992,What type of pension should I get?,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,813,Income Tax and Investments,4.0,0.0,LEN-SHORT,LEN-SHORT|MULTI-CONCEPT
lstm-retriever,recurrent,fiqa,8247,Tax on Stocks or ETF's,8.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,fiqa,8332,Why do put option prices go higher when the underlying stock tanks (drops)?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,852,Dalbar: How can the average investor lose money?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
lstm-retriever,recurrent,fiqa,8537,What is an “Options Account”?,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
lstm-retriever,recurrent,fiqa,8544,Strategies to recover from a bad short-term call options purchase where the underlying dropped instead?,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
